;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2014M01-I;2014M02-I;2014M03-I;2014M04-I;2014M05-I;2014M06-I;2014M07-I;2014M08-I;2014M09-I;2014M10-I;2014M11-I;2014M12-I;2015M01-I;2015M02-I;2015M03-I;2015M04-I;2015M05-I;2015M06-I;2015M07-I;2015M08-I;2015M09-I;2015M10-I;2015M11-I;2015M12-I;2016M01-I;2016M02-I;2016M03-I;2016M04-I;2016M05-I;2016M06-I;2016M07-I;2016M08-I;2016M09-I;2016M10-I;2016M11-I;2016M12-I;2017M01-I;2017M02-I;2017M03-I;2017M04-I;2017M05-I;2017M06-I;2017M07-I;2017M08-I;2017M09-I;2017M10-I;2017M11-I;2017M12-I;2018M01-I;2018M02-I;2018M03-I;2018M04-I;2018M05-I;2018M06-I;2018M07-I;2018M08-I;2018M09-I;2018M10-I;2018M11-I;2018M12-I;2019M01-I;2019M02-I;2019M03-I;2019M04-I;2019M05-I;2019M06-I;2019M07-I;2019M08-I;2019M09-I;2019M10-I;2019M11-I;2019M12-I;2020M01-I;2020M02-I;2020M03-I;2020M04-I
Comoros, Union of the;15,30;19,13;17,72;21,65;20,25;20,72;20,91;25,84;24,86;25,11;21,13;19,15;41,95;29,77;36,37;36,68;35,33;35,41;30,43;29,52;32,14;36,06;38,07;43,90;35,02;32,31;47,33;54,30;44,20;43,12;35,21;41,16;39,08;40,12;43,76;41,64;26,48;22,35;30,03;40,59;31,31;24,31;20,50;29,98;29,50;30,87;29,29;26,47;32,48;37,35;49,10;57,09;46,06;46,51;57,81;36,67;37,73;59,02;26,71;36,70;25,10;22,79;31,34;33,27;27,18;16,46;29,82;20,67;22,27;29,78;25,52;24,88;18,11;25,16;19,46;21,62;22,10;23,96;30,00;24,01;22,59;26,07;21,54;25,78;22,69;33,62;28,70;23,91;5,33;5,84;3,16;2,89;3,78;3,60;3,75;3,33;5,29;7,61;8,42;6,80;3,73;3,54;3,84;3,87;2,85;2,48;3,01;2,95;3,41;4,87;6,13;8,48;7,10;8,49;4,69;4,51;4,06;4,73;4,04;3,82;5,79;9,24;11,72;9,82;9,88;5,04;5,64;6,39;2,71;11,65;3,79;2,66;3,34;5,55;12,26;14,98;12,60;13,16;12,94;4,79;5,66;6,48;5,10;5,31;6,46;14,00;5,11;10,73;10,19;7,82;2,05;4,68;6,45;0,78;7,05;2,49;2,50;8,34;5,08;6,76;8,50;5,14;4,61;2,97
Congo, Dem. Rep. of the;572,02;456,04;560,39;642,85;589,69;558,68;602,03;573,22;624,54;646,08;595,70;613,04;512,12;532,11;526,45;544,53;518,03;660,28;538,77;521,18;521,08;495,15;449,18;528,13;348,11;406,11;425,89;428,12;420,49;426,17;400,67;434,07;402,63;478,37;420,22;413,92;337,50;306,84;408,48;383,53;423,30;539,43;409,10;380,58;415,28;424,27;530,02;422,64;484,96;532,44;530,68;563,09;675,26;626,03;683,91;654,74;941,84;675,53;637,87;624,22;551,00;542,80;618,18;683,76;684,63;626,66;685,95;663,91;747,02;717,21;826,95;731,10;569,34;508,01;550,48;527,26;764,77;644,44;781,75;738,96;783,95;848,86;832,16;828,87;851,45;904,79;970,22;976,63;766,18;683,79;795,98;770,81;617,73;819,76;645,45;518,74;622,47;604,55;627,50;633,22;436,95;417,95;444,28;607,98;532,17;554,56;549,89;585,47;629,18;561,93;513,08;579,69;477,83;430,07;532,38;538,56;488,85;462,28;454,94;466,77;425,99;471,96;645,36;546,71;517,23;448,17;579,68;593,63;532,08;676,19;700,15;630,98;941,15;712,06;858,06;787,44;945,54;878,97;991,55;966,39;1151,60;1008,17;975,76;958,98;1013,08;755,09;822,67;809,70;624,73;491,64;653,56;554,42;722,96;694,81;678,33;534,66;689,25;742,00;859,98;792,56;881,62;529,93;795,97;825,87
Congo, Rep. of;487,24;427,67;491,71;526,72;481,65;462,10;528,25;524,63;516,39;659,53;655,83;609,75;360,08;418,79;441,92;367,63;451,61;448,75;432,23;455,13;425,12;332,41;851,03;340,88;304,81;328,18;273,92;253,37;293,93;327,45;263,40;1489,69;381,75;375,06;303,33;267,05;240,65;158,00;237,58;242,58;193,62;201,66;185,58;234,83;191,10;208,04;224,44;212,18;165,09;196,20;195,58;193,84;193,38;206,81;200,76;252,19;187,88;249,70;214,61;224,65;189,71;153,86;182,24;197,00;198,49;188,84;206,99;170,49;173,37;184,63;211,10;218,55;175,24;168,65;181,06;137,08;181,06;204,79;217,98;223,81;208,10;224,85;259,54;218,52;231,57;254,02;307,74;313,33;1017,24;1132,06;515,50;1001,87;1005,00;1134,98;1155,62;929,28;1090,98;772,29;601,51;814,48;745,75;514,58;751,88;630,51;357,06;722,10;529,10;648,05;597,88;663,49;380,17;473,26;416,52;398,48;395,56;516,86;511,06;485,01;473,58;576,20;526,78;487,85;483,93;445,66;309,48;543,90;701,77;369,04;692,56;599,34;803,63;745,42;636,78;726,38;916,63;698,56;851,39;664,57;1057,39;905,61;1033,27;1136,36;979,17;1082,41;1017,48;994,49;904,05;967,50;755,45;994,77;782,99;1106,76;991,01;785,18;1096,53;758,80;1038,63;832,54;760,02;984,28;730,96;837,57;713,26;467,42
Côte d'Ivoire;716,30;592,18;648,94;878,45;914,55;868,34;842,76;770,70;988,27;737,81;833,28;1447,89;679,70;925,99;831,89;800,50;756,17;785,36;799,26;765,94;774,18;794,08;734,18;841,49;666,28;665,64;759,67;862,53;798,07;803,37;694,03;691,25;678,25;712,55;704,40;835,14;745,90;674,34;855,62;850,82;893,46;879,27;822,00;876,10;842,35;792,19;911,31;944,97;864,56;918,92;952,80;893,91;950,71;985,71;909,89;807,63;872,60;1018,23;956,44;1042,59;877,25;788,97;920,42;954,97;967,52;977,83;989,78;880,74;867,11;994,98;952,49;1030,04;923,69;989,13;932,51;792,38;1107,89;1158,65;1325,33;1177,99;1334,49;1265,07;1333,45;1312,65;1344,12;1408,08;1396,47;1520,81;942,27;1082,30;1095,31;926,79;1071,19;893,66;949,53;945,47;881,63;969,51;858,17;814,27;1013,50;820,03;921,93;854,80;928,22;977,05;876,32;874,42;870,17;817,50;766,10;929,22;854,73;913,42;958,11;1002,36;975,59;1007,13;866,46;855,03;939,75;869,19;942,05;1001,88;966,81;1029,96;1236,78;1039,70;1102,67;1030,04;837,42;998,15;1142,18;850,65;885,14;975,56;1145,90;926,15;1110,11;981,32;1229,46;1015,20;1130,31;1091,50;971,51;1017,77;966,57;910,35;900,66;980,37;1182,21;1042,21;1273,73;1064,14;1126,32;1064,70;1010,15;998,87;926,92;1013,22;1067,72;1170,87;1182,25;1036,44
Equatorial Guinea, Rep. of;195,95;219,17;184,26;183,53;204,43;320,22;199,18;180,06;197,63;188,65;217,03;321,77;142,54;141,70;148,78;113,38;135,58;124,47;134,14;121,64;105,89;109,01;344,93;109,50;73,23;94,40;103,10;108,03;84,05;102,03;272,83;103,69;92,99;82,41;95,84;67,30;58,92;51,31;82,59;55,98;75,39;80,66;64,03;79,47;71,85;78,33;69,60;73,67;56,57;64,52;65,43;63,86;140,69;65,89;106,19;90,01;83,62;85,01;121,13;106,68;77,32;75,60;69,65;85,86;96,73;60,87;101,71;104,83;58,23;87,98;70,90;80,47;73,26;59,81;93,26;62,12;57,81;57,59;64,25;82,96;59,91;75,84;51,84;62,46;63,49;66,77;68,83;62,14;1422,13;1341,84;859,15;1186,54;1345,02;808,89;1424,45;1217,51;929,25;1037,56;697,39;956,36;792,68;769,93;788,92;315,85;574,90;792,65;527,98;441,36;493,97;423,91;539,56;498,11;297,68;381,11;330,00;462,86;257,48;490,14;289,05;451,01;503,60;392,01;361,02;417,90;432,71;313,86;604,61;303,91;410,24;534,56;358,25;327,89;444,69;435,14;572,03;444,89;576,10;412,94;633,95;545,82;596,97;560,56;493,12;492,92;443,31;628,65;490,52;499,68;487,71;454,71;293,90;598,07;410,51;466,38;443,37;356,19;296,71;449,19;397,33;330,71;509,51;295,01;330,24;154,19
Eritrea, The State of;26,31;28,23;32,57;30,78;32,97;33,48;33,00;32,18;37,87;28,14;29,88;33,44;20,35;60,90;26,52;28,21;38,18;31,79;29,82;26,22;30,37;74,38;31,32;24,59;11,82;14,74;22,11;18,20;52,51;23,08;13,31;23,31;15,18;14,41;33,30;21,28;13,68;16,81;20,85;35,22;10,55;18,88;18,00;28,31;31,40;22,26;35,09;25,19;19,15;29,00;31,20;37,38;27,19;31,87;34,00;34,48;21,35;29,06;38,95;38,34;27,73;37,61;28,26;24,60;18,50;22,41;29,28;26,05;54,98;29,73;22,41;25,15;26,50;27,21;28,40;28,66;29,08;26,39;10,90;26,79;20,36;23,66;18,92;23,12;19,92;26,06;23,99;19,58;5,92;60,35;95,51;46,48;45,43;44,08;25,22;43,85;63,12;48,97;82,43;40,10;51,79;53,26;47,30;54,86;18,60;23,17;51,86;44,84;19,46;45,29;8,48;42,04;43,45;42,98;21,37;72,17;8,96;42,91;9,43;35,38;8,25;32,75;30,36;35,97;42,28;25,41;53,57;27,14;21,27;42,74;23,87;35,43;36,53;48,27;23,17;33,19;64,80;14,23;46,24;84,42;35,73;56,44;48,74;75,86;50,25;57,43;27,70;43,11;52,85;39,57;46,27;24,49;47,87;30,57;58,52;29,28;46,63;33,03;64,13;24,54;83,39;49,56;30,96;53,02
Eswatini, Kingdom of;134,55;141,10;147,42;138,89;164,60;147,22;156,35;152,49;158,08;169,14;156,78;140,55;108,29;115,95;147,89;139,36;127,42;134,84;136,87;142,87;129,84;140,12;161,50;118,24;90,03;102,22;115,21;115,54;113,09;120,83;127,76;142,61;134,11;131,93;147,32;130,77;109,96;115,68;140,43;113,22;132,65;128,43;151,76;144,74;133,07;144,90;143,89;169,58;134,03;148,25;160,33;137,71;154,41;142,59;142,40;143,74;126,79;145,76;157,36;124,89;125,06;124,13;139,21;127,01;140,72;136,02;146,63;140,25;132,48;159,42;155,61;137,53;119,56;120,73;123,12;57,90;116,79;132,99;148,14;149,48;166,95;155,25;129,66;165,80;165,94;161,69;177,11;146,93;285,72;150,69;163,12;170,09;154,67;169,45;178,97;169,13;209,64;207,41;224,77;165,72;137,40;147,59;150,76;155,26;152,82;145,97;135,17;153,93;196,21;162,88;173,86;162,50;128,75;122,81;123,32;136,36;133,17;128,62;126,61;164,69;156,52;176,43;222,32;180,44;154,45;203,05;204,53;189,16;178,53;138,17;162,55;227,12;198,80;230,19;218,77;195,41;179,97;194,89;210,15;200,61;181,23;173,13;186,87;184,44;187,12;238,89;230,37;197,75;193,82;198,73;230,98;213,65;226,88;186,32;232,86;198,44;224,09;239,84;233,39;254,70;156,96;163,29;185,53;107,20
Ethiopia, The Federal Dem. Rep. of;762,09;672,02;689,66;632,35;951,47;891,47;603,64;852,30;708,66;905,69;1260,26;859,73;922,43;738,73;633,23;983,21;1117,89;962,59;748,47;752,97;983,93;951,04;850,28;952,10;736,88;743,62;822,25;817,09;796,37;1013,36;843,91;837,56;926,07;690,02;708,89;1103,27;879,23;493,93;936,18;945,71;923,50;1113,89;802,59;726,99;694,32;913,24;796,82;780,41;574,67;692,03;626,96;792,03;738,79;945,51;760,10;1049,01;703,84;723,96;998,63;1197,03;695,53;581,70;631,52;896,36;778,79;754,29;722,64;814,95;805,15;818,29;925,24;1475,33;693,76;584,31;1051,89;516,57;622,36;611,35;677,75;544,67;553,42;690,99;738,37;875,39;655,16;752,08;701,44;1188,67;207,52;192,99;280,11;239,81;288,58;223,40;300,95;213,47;235,56;309,78;194,31;209,90;205,54;272,41;229,19;268,36;339,37;279,34;246,02;291,51;232,50;229,94;202,35;193,03;191,06;179,16;243,13;240,26;219,03;245,65;205,42;325,26;204,17;165,87;186,74;180,85;251,36;170,03;221,27;201,61;326,51;324,14;242,06;297,64;219,72;201,48;216,00;194,34;247,54;209,38;270,91;253,81;257,79;210,08;229,04;229,29;218,36;221,55;214,55;201,60;218,61;184,20;285,17;284,02;365,29;273,46;267,64;291,19;228,09;252,74;234,18;245,66;222,02;275,75;243,92;209,63
Gabon;371,71;385,86;276,79;480,99;438,40;398,55;536,00;333,41;308,63;312,66;317,28;285,79;265,12;229,59;261,00;234,58;238,75;269,70;282,12;236,90;244,88;294,17;233,83;487,42;204,62;194,66;246,19;213,19;238,41;237,65;208,56;276,47;254,87;241,29;215,71;231,22;295,89;141,56;169,48;152,77;187,23;180,00;180,71;181,61;187,17;205,37;171,84;161,70;181,80;185,78;206,83;210,80;188,40;241,12;246,31;212,36;210,50;264,72;218,92;212,32;168,21;168,23;194,01;192,87;208,29;193,37;200,41;194,68;190,06;208,87;191,66;206,99;198,50;186,54;206,31;172,75;188,67;157,75;189,90;208,02;199,37;222,01;242,26;200,61;229,66;233,00;226,54;232,67;1015,01;1038,37;737,69;818,02;689,42;1046,76;1191,19;1025,02;995,05;724,35;813,93;740,30;605,54;574,61;542,21;731,32;521,46;549,47;738,31;403,78;608,87;656,62;501,82;483,02;381,74;519,20;551,48;389,83;584,48;455,22;501,34;395,98;530,90;435,89;473,32;591,46;441,80;546,71;475,23;508,16;543,30;510,83;615,48;666,62;609,33;626,71;560,56;539,52;603,25;708,31;564,16;483,57;584,51;456,07;604,48;524,26;616,50;666,15;577,89;593,02;645,36;573,31;683,60;479,40;665,67;576,31;714,36;583,14;607,32;606,79;680,90;472,85;416,47;520,21;573,43;291,28
Gambia, The;97,69;90,44;87,89;95,73;118,62;104,45;111,14;98,59;90,05;86,43;71,52;76,90;74,79;85,70;69,55;78,96;79,60;85,66;89,02;84,41;71,23;72,95;77,25;83,83;74,05;73,32;82,52;82,32;75,45;81,65;85,03;83,60;72,87;81,18;87,54;69,73;60,86;88,97;108,25;105,42;119,80;106,76;106,58;111,48;106,73;99,81;100,11;94,68;96,62;105,60;120,18;100,55;120,83;100,62;101,65;89,95;87,18;101,90;107,96;129,87;121,13;120,56;141,30;128,93;124,92;105,33;110,24;113,37;97,42;111,09;118,31;139,71;124,17;105,15;127,43;108,56;140,47;149,24;152,45;144,38;135,06;128,25;128,94;145,11;119,32;148,49;128,82;133,01;4,42;4,50;6,52;6,38;4,61;7,02;14,58;19,86;18,26;10,99;9,33;8,88;13,73;8,50;8,11;9,16;6,92;14,40;16,39;21,25;14,21;7,80;5,96;7,19;9,08;5,52;8,98;10,93;10,37;15,62;27,08;22,43;17,30;19,15;17,46;8,51;6,25;11,92;12,60;8,52;11,83;13,45;18,98;28,60;38,81;22,73;26,85;15,23;8,81;6,73;8,27;5,25;5,17;11,18;17,60;14,78;12,95;10,34;7,64;8,60;11,84;5,33;10,68;17,54;17,79;22,47;27,49;19,58;18,18;14,45;7,84;8,29;8,41;7,87;8,85;10,54
Ghana;1447,93;1388,72;1478,55;1430,99;1378,89;1281,70;1709,57;1388,79;1534,82;1557,75;1487,89;1513,45;1227,02;1257,52;1285,91;1227,89;1211,39;1452,21;1446,12;1311,21;1342,47;1341,25;1231,05;1510,12;1106,49;1095,90;1312,96;1447,81;1431,71;1365,44;1184,65;1229,50;1225,86;1254,18;1160,09;1297,33;1166,62;1090,80;1309,44;1271,90;1363,16;1285,64;1309,09;1370,75;1378,18;1333,01;1423,86;1377,33;1268,02;1267,24;1303,20;1280,85;1430,24;1367,11;1328,92;1271,20;1303,17;1286,31;1459,34;1235,20;1140,21;1043,76;1196,58;1180,84;1283,52;1200,27;1267,19;1103,78;1126,04;1236,54;1241,31;1379,57;1128,61;968,22;1278,04;1064,83;1474,00;1317,95;1609,71;1792,10;1726,67;1920,61;1815,56;1862,47;1735,70;1900,69;1962,00;1886,55;1159,20;970,18;1137,98;1302,76;1142,01;1097,68;1180,03;997,12;1042,88;1169,41;957,16;982,30;825,51;814,87;976,48;978,18;1102,45;1122,97;898,72;1077,57;966,21;1003,84;866,53;975,90;913,44;899,24;989,90;869,40;991,39;1060,56;911,70;1032,80;1052,24;1039,42;1281,78;1253,79;1131,11;1059,32;1196,58;1134,24;1231,76;940,20;992,89;947,11;982,89;1105,55;1034,19;1063,75;1189,14;1152,06;1363,55;1458,66;1399,68;1267,51;1545,56;1232,98;1178,68;1434,28;1340,29;1228,84;1276,85;1256,74;1476,75;1324,63;1416,14;1423,78;1396,16;1324,67;1074,59;1544,02;1398,73;1284,72;1594,32;1228,11;1264,44;1173,77
Guinea;306,39;255,33;353,93;320,52;352,61;366,07;396,51;300,43;282,22;262,49;291,61;339,37;264,76;293,63;290,73;311,41;309,36;358,14;313,04;279,74;287,92;259,88;267,96;294,11;282,42;217,15;338,14;368,74;321,24;375,97;309,78;325,25;389,78;342,29;289,90;350,74;386,27;301,51;377,89;385,76;389,08;384,73;359,39;394,49;347,93;351,37;326,67;399,79;392,57;424,93;453,37;400,06;429,30;362,85;337,06;346,43;325,08;348,17;394,52;389,32;340,47;386,88;341,01;369,14;426,05;336,67;407,68;373,20;338,84;434,96;379,14;467,87;335,29;441,23;355,33;452,20;482,28;456,90;501,74;430,88;478,44;504,46;419,34;492,91;447,75;518,70;544,24;479,69;206,86;144,09;234,12;434,45;146,58;203,56;380,24;147,83;223,35;223,55;246,57;149,06;165,57;117,19;252,29;149,32;188,95;249,35;124,73;142,02;138,26;120,66;153,93;130,44;232,53;242,65;302,96;295,10;298,89;330,61;274,78;286,73;257,77;287,60;316,09;319,57;444,18;458,52;540,13;585,67;578,43;565,97;490,98;567,86;490,19;452,95;494,53;498,95;625,49;536,30;642,19;560,46;606,94;467,93;552,20;571,60;420,82;455,87;439,80;525,94;645,59;585,95;648,43;656,00;714,86;565,83;635,10;504,56;424,38;451,23;433,72;672,14;1094,84;962,73;1062,12;854,15
Guinea-Bissau;30,34;26,50;64,26;22,13;31,66;53,05;33,40;23,26;31,64;24,71;28,09;23,47;19,43;17,06;19,06;20,63;20,11;25,48;22,21;20,91;20,92;20,99;23,14;27,87;21,85;26,40;31,53;26,13;25,02;24,55;25,20;22,83;30,56;26,22;23,09;20,76;22,01;18,70;27,10;25,48;31,70;30,72;26,18;26,13;22,74;30,15;33,36;22,40;19,30;20,07;24,42;32,47;18,43;20,59;22,26;39,23;20,91;24,53;27,46;31,78;30,69;32,61;19,33;34,08;24,33;21,31;22,48;21,97;20,56;33,51;30,42;38,11;42,33;29,29;30,24;20,74;23,84;24,27;37,89;23,64;59,86;28,21;30,47;28,14;37,51;34,22;29,18;30,49;6,33;7,66;6,69;8,14;7,32;15,92;16,04;67,35;53,57;32,26;20,95;5,00;5,90;7,18;6,28;13,89;12,05;13,33;27,55;82,98;47,86;57,42;22,94;12,72;8,20;14,73;12,23;13,51;15,92;20,40;24,76;81,67;72,20;72,07;24,06;14,07;9,97;11,94;11,19;9,81;10,24;11,79;47,57;63,91;105,30;45,76;24,09;11,46;3,75;2,07;1,54;2,40;4,17;5,33;1,47;29,37;45,43;34,99;16,12;6,37;6,87;4,00;5,13;4,72;5,81;5,22;7,85;31,57;27,12;110,31;24,75;9,36;8,14;5,36;6,30;5,85
Kenya;1741,14;1657,07;1912,99;2159,20;2096,15;2146,25;2217,69;2373,99;2421,94;2251,29;1956,39;2136,38;1901,86;1728,54;1531,17;1903,54;1930,16;1876,12;1621,58;1655,69;1627,97;2072,75;1721,80;1637,24;1346,18;1261,26;1319,68;1541,73;1454,93;1635,04;1539,70;1573,35;1510,57;1517,08;1661,90;1687,13;1510,10;1352,67;1531,16;1454,08;1675,18;1762,74;1494,06;1470,23;1541,59;1314,41;1710,73;1614,76;1488,02;1656,58;1516,67;1738,22;2008,84;1973,45;1573,00;1689,34;1727,64;1610,86;1742,90;1621,63;1502,32;1166,05;1632,86;1555,50;1702,44;1528,14;1682,66;1494,38;1602,62;1618,95;1609,02;1693,51;1636,48;1206,48;1364,97;1106,87;1890,14;1376,08;1673,87;1726,33;2089,78;1906,55;2085,45;1865,02;2516,33;2143,53;2170,87;2528,06;549,25;599,38;568,82;559,02;553,09;570,92;525,39;582,09;579,32;575,22;534,85;581,43;564,49;470,32;534,24;525,37;539,55;507,83;528,84;526,92;463,91;504,01;443,80;449,25;451,30;454,90;504,23;494,57;477,65;475,98;434,59;503,05;468,06;465,67;482,27;467,42;469,99;458,34;525,52;451,65;506,50;439,33;483,93;485,09;466,58;505,19;527,75;493,56;516,12;515,29;537,75;499,94;478,03;431,80;537,93;592,03;593,12;534,57;538,39;540,86;526,20;554,20;574,12;537,47;604,79;499,52;562,69;510,31;564,40;600,54;565,28;533,03;545,28;533,33;547,00;441,79
Lesotho, Kingdom of;115,57;113,60;128,22;128,29;139,45;130,70;130,53;129,64;125,83;149,94;152,37;127,26;105,51;112,82;123,50;118,04;117,56;127,80;125,18;120,86;124,53;119,21;119,37;107,32;80,69;97,98;100,21;116,00;108,21;110,09;110,55;126,26;134,56;128,48;138,30;117,95;95,38;107,64;137,07;104,29;123,30;248,25;107,99;116,26;117,81;130,00;131,54;127,71;114,86;124,47;131,77;132,58;140,08;119,40;120,99;118,34;107,01;134,13;136,64;125,11;108,97;116,84;119,05;122,42;127,62;118,46;135,66;124,36;123,86;140,26;263,64;131,96;106,73;112,43;105,17;39,78;91,69;119,04;134,91;129,33;165,11;135,47;132,26;135,82;142,50;142,90;160,58;150,24;101,47;105,11;81,77;86,71;88,96;53,17;90,52;90,51;107,86;76,34;78,82;52,84;76,23;53,85;60,85;88,56;68,11;76,55;119,87;74,66;89,22;96,40;104,47;54,39;86,11;71,73;58,38;95,83;68,97;84,20;60,53;86,05;72,79;90,28;95,29;64,41;74,56;82,36;87,41;81,87;108,32;100,96;78,61;106,51;76,98;124,95;140,35;67,93;169,81;100,93;150,22;104,03;120,30;118,81;55,40;126,73;72,17;91,01;124,99;62,08;117,56;67,17;74,32;136,55;77,72;90,22;118,28;84,19;69,68;96,61;137,25;72,16;131,03;102,81;74,62;24,89
Liberia;1260,73;1071,15;830,70;1201,99;805,92;880,92;954,56;1613,08;874,42;967,87;556,94;898,41;968,97;605,76;1153,93;702,39;540,85;885,89;584,59;692,39;901,83;581,95;373,94;649,78;887,17;507,77;630,63;833,13;702,79;1035,18;1014,56;1046,43;708,74;710,50;1063,25;959,36;1134,04;745,37;917,67;894,67;692,17;722,86;567,53;576,84;629,98;479,31;430,77;872,36;923,50;527,50;707,43;793,14;841,34;834,48;866,84;634,91;1177,39;862,23;819,43;867,18;883,14;914,54;1102,63;1040,50;1335,22;1224,14;968,18;1028,98;864,32;870,44;1026,12;1091,89;1406,86;904,87;678,79;781,23;1362,45;960,51;1348,90;1283,45;975,23;1760,18;1320,00;1483,68;1587,42;1130,68;1389,53;1431,71;146,61;114,54;101,79;131,76;143,72;308,63;84,09;90,14;136,32;57,32;109,75;59,83;152,41;88,01;150,17;161,97;101,40;142,33;277,99;127,23;146,10;112,26;119,56;93,93;82,35;72,46;105,51;102,98;114,72;92,11;77,09;77,14;129,27;58,68;72,76;99,03;52,34;61,86;60,01;82,70;85,40;68,99;163,17;67,52;191,32;320,96;64,62;156,72;86,53;183,66;151,84;194,53;114,12;49,97;135,65;69,28;103,25;169,39;157,07;68,70;65,11;113,39;156,98;207,81;138,04;113,79;189,79;131,23;57,76;71,76;131,19;56,82;78,42;72,27;92,04;67,98
Madagascar, Rep. of;366,04;295,19;329,32;332,88;367,86;306,79;340,96;328,39;340,43;330,32;323,82;319,87;264,51;225,82;253,94;264,55;272,09;265,21;290,63;245,22;285,67;291,96;261,23;253,70;211,98;216,90;236,37;261,02;283,94;290,25;259,70;278,28;273,84;269,50;274,97;268,70;265,15;233,32;331,43;270,79;288,79;316,37;312,08;335,46;310,27;318,73;380,30;350,19;249,01;323,07;289,55;315,38;300,22;284,96;320,24;318,56;306,52;296,19;293,04;295,55;295,79;221,91;279,16;319,58;318,73;384,95;355,47;266,40;303,80;369,43;293,88;325,26;246,02;235,85;259,45;213,65;246,78;249,19;273,09;275,62;273,73;324,30;303,71;304,03;361,48;331,97;322,97;326,62;166,50;199,24;199,91;198,11;195,60;228,78;231,60;203,17;216,91;195,07;183,48;222,82;198,85;172,14;236,89;229,75;206,50;204,94;228,61;221,74;185,24;194,47;177,75;216,82;191,03;204,92;251,27;238,39;220,66;251,10;202,79;228,45;206,65;223,83;234,86;269,09;282,18;248,51;343,09;313,34;326,22;269,22;238,63;274,49;233,62;238,67;361,21;387,75;351,53;330,72;399,58;377,39;341,70;261,82;303,92;293,97;263,86;294,74;297,52;380,08;323,50;389,13;390,29;281,01;303,85;251,04;260,30;262,01;223,66;256,05;287,03;333,36;302,23;263,08;243,96;215,51
Malawi;121,10;192,65;134,36;131,36;129,41;156,60;133,49;129,89;126,70;146,32;146,93;114,56;101,85;107,92;135,75;139,02;132,17;135,98;149,70;138,14;164,67;144,77;128,60;103,94;85,90;109,57;110,25;109,10;104,36;131,39;169,90;139,26;138,90;134,76;121,32;147,07;116,41;100,60;141,63;151,76;159,98;137,64;142,06;165,65;125,76;158,28;133,24;131,22;102,19;114,40;133,30;128,49;155,00;159,58;130,62;146,22;156,90;142,54;150,53;113,44;120,94;128,00;131,52;138,57;161,04;158,37;164,21;155,94;144,67;149,88;141,08;123,41;98,84;121,61;109,77;87,66;112,50;121,24;148,29;231,06;178,15;195,05;158,66;158,87;165,68;183,88;169,61;162,14;104,76;86,70;102,15;76,95;95,07;95,23;100,38;75,46;82,54;93,82;90,93;113,07;87,52;76,88;89,08;116,23;59,83;62,65;67,74;53,50;77,56;117,07;87,25;110,07;63,37;93,99;87,26;83,08;75,39;70,99;60,36;85,24;73,72;94,13;95,55;96,84;79,90;66,37;90,18;100,17;87,41;88,85;108,38;78,73;69,18;73,04;67,60;72,00;88,66;102,06;104,29;109,70;79,71;63,65;68,06;59,95;70,71;87,27;100,43;81,60;139,41;124,77;82,43;92,28;99,42;67,32;73,70;66,29;56,16;81,03;86,10;109,72;66,94;72,62;82,88;64,22
Mali;218,21;248,14;277,94;256,90;280,08;277,68;300,03;216,26;327,30;282,16;261,36;276,09;260,77;247,29;249,12;262,91;255,00;264,16;255,99;242,89;253,20;261,40;249,34;334,16;301,43;311,32;308,68;329,89;301,04;302,57;263,60;292,89;261,08;258,25;335,68;426,39;242,60;275,74;312,61;268,45;320,35;310,64;270,04;267,22;301,38;282,25;294,07;313,40;322,06;308,28;328,37;317,35;307,45;280,53;263,95;308,08;235,51;288,60;293,29;283,85;385,75;363,61;393,12;324,75;414,49;311,92;334,87;314,83;314,60;381,92;353,55;403,48;383,33;366,48;390,89;302,46;387,84;434,73;496,58;480,74;427,95;434,31;429,85;417,45;520,29;449,87;481,59;464,57;243,28;246,03;307,58;289,85;266,40;261,82;294,34;250,53;259,73;290,94;254,54;293,89;249,60;282,52;328,17;314,43;299,82;321,27;332,76;294,63;294,34;292,36;269,93;360,97;229,43;219,66;237,14;243,71;255,16;240,45;221,35;243,06;217,07;206,48;220,95;248,63;91,52;94,70;135,09;148,97;161,11;140,13;142,52;111,45;101,38;97,09;192,21;228,77;207,12;221,46;304,38;297,47;323,77;288,66;245,73;225,29;233,06;251,06;249,01;343,25;410,76;410,89;448,40;463,32;461,77;414,96;467,75;439,15;428,40;405,48;445,67;450,98;466,16;467,75;505,07;394,19
